Player,PlayerIOC,Surface,Matches,EloRank,Elo,EloRankSurface,Wins,Losses,WinPercentage,Titles,PointsWonPercentage,GamesWonPercentage,SetsWonPercentage,DecSets,DecSetWins,DecSetWinPercentage,TieBreaks,TieBreaksWon,TieBreaksWonPercentage,ServiceGamesWonPercentage,ReturnGamesWonPercentage,EloServeRank,EloServe,FirstServePercentage,FirstServeWonPercentage,SecondServeWonPercentage,ServicePointsWonPercentage,Aces,AcePercentage,AcesPerServiceGame,DoubleFaultPercentage,DoubleFaultsPerServiceGame,AcesPerDoubleFault,BreakPointsFacedPerServiceGame,BreakPointsSavedPercentage,EloReturnRank,EloReturn,FirstServeReturnPointsWonPercentage,SecondServeReturnPointsWonPercentage,ReturnPointsWonPercentage,AceAgainstPercentage,AcesAgainstPerReturnGame,BreakPointChancesPerReturnGame,BreakPointsConvertedPercentage
Iga Swiatek,POL,Clay,22,1,2192,1,21,1,0.95455,3,0.5747,0.66341,0.8913,4,3,0.75,3,3,1,0.82439,0.50244,1,1719,0.64137,0.68329,0.56846,0.64211,20,0.01488,0.09756,0.02902,0.19024,0.51282,0.60976,0.712,1,1686,0.45115,0.59699,0.50809,0.03456,0.22927,0.99024,0.50739
Iga Swiatek,POL,Grass,9,1,2192,12,7,2,0.77778,0,0.56618,0.61582,0.78947,3,2,0.66667,3,2,0.66667,0.85227,0.38202,1,1719,0.71402,0.72251,0.53595,0.66916,12,0.02243,0.13636,0.02056,0.125,1.09091,0.375,0.60606,1,1686,0.35294,0.62609,0.46655,0.04521,0.2809,0.67416,0.56667
Iga Swiatek,POL,Hard,56,1,2192,1,49,7,0.875,6,0.56676,0.6523,0.82645,12,7,0.58333,11,8,0.72727,0.79773,0.50291,1,1719,0.66068,0.68954,0.53812,0.63816,103,0.03135,0.19471,0.0283,0.1758,1.10753,0.50284,0.59774,1,1686,0.41134,0.63037,0.49928,0.04228,0.28544,0.96311,0.52218
Elena Rybakina,KAZ,Clay,12,2,2072,3,10,2,0.83333,1,0.53299,0.59375,0.77778,5,4,0.8,3,2,0.66667,0.82171,0.3622,3,1700,0.59954,0.70968,0.5,0.62571,62,0.07053,0.48062,0.03868,0.26357,1.82353,0.66667,0.73256,41,1574,0.35429,0.57099,0.43698,0.01649,0.11024,0.92913,0.38983
Elena Rybakina,KAZ,Grass,7,2,2072,5,5,2,0.71429,0,0.53906,0.56944,0.66667,3,1,0.33333,3,3,1,0.89041,0.23944,3,1700,0.62615,0.80586,0.49693,0.69037,57,0.13073,0.78082,0.0367,0.21918,3.5625,0.32877,0.66667,41,1574,0.33455,0.48649,0.39565,0.0587,0.38028,0.61972,0.38636
Elena Rybakina,KAZ,Hard,44,2,2072,2,33,11,0.75,2,0.53011,0.56854,0.67677,17,13,0.76471,16,7,0.4375,0.77895,0.35408,3,1700,0.59935,0.71885,0.48217,0.62403,287,0.09318,0.60421,0.03474,0.22526,2.68224,0.53263,0.58498,41,1574,0.36783,0.56559,0.44009,0.03984,0.27468,0.83047,0.42636
Aryna Sabalenka,BLR,Clay,20,3,2052,2,16,4,0.8,0,0.52305,0.56017,0.69388,10,7,0.7,8,5,0.625,0.78279,0.33193,4,1685,0.65271,0.70188,0.49351,0.62951,72,0.04639,0.29508,0.04188,0.26639,1.10769,0.53279,0.59231,29,1587,0.3665,0.51286,0.42211,0.03543,0.2437,0.7605,0.43646
Aryna Sabalenka,BLR,Grass,8,3,2052,9,6,2,0.75,0,0.54253,0.59146,0.72222,2,1,0.5,2,1,0.5,0.85542,0.32099,4,1685,0.62405,0.76147,0.49239,0.66031,55,0.10496,0.66265,0.04962,0.31325,2.11538,0.36145,0.6,29,1587,0.37791,0.51579,0.42697,0.04307,0.28395,0.81481,0.39394
Aryna Sabalenka,BLR,Hard,39,3,2052,3,29,10,0.74359,1,0.53976,0.58015,0.72727,10,4,0.4,11,9,0.81818,0.77193,0.38243,4,1685,0.60553,0.71833,0.48667,0.62695,226,0.08801,0.56642,0.06737,0.43358,1.30636,0.56892,0.59912,29,1587,0.37729,0.57283,0.45367,0.05037,0.3385,0.81395,0.46984
Coco Gauff,USA,Clay,15,4,2001,6,11,4,0.73333,0,0.54183,0.58806,0.64865,7,5,0.71429,4,1,0.25,0.66471,0.50909,20,1605,0.54919,0.70033,0.4246,0.57603,27,0.02415,0.15882,0.10197,0.67059,0.23684,0.73529,0.544,2,1662,0.45727,0.58222,0.50761,0.02059,0.13939,1.0303,0.49412
Coco Gauff,USA,Grass,7,4,2001,20,4,3,0.57143,0,0.50685,0.53846,0.6,1,0,0,0,0,,0.75758,0.3125,20,1605,0.61179,0.69076,0.48734,0.61179,39,0.09582,0.59091,0.03931,0.24242,2.4375,0.51515,0.52941,2,1662,0.35185,0.5,0.39899,0.03535,0.21875,0.625,0.5
Coco Gauff,USA,Hard,51,4,2001,4,42,9,0.82353,4,0.54325,0.60173,0.75214,15,11,0.73333,12,9,0.75,0.72881,0.46967,20,1605,0.59525,0.69747,0.45279,0.59844,192,0.05559,0.36158,0.06775,0.44068,0.82051,0.65913,0.58857,2,1662,0.4202,0.59427,0.48759,0.02161,0.14481,0.85519,0.5492
Danielle Collins,USA,Clay,19,5,1994,4,15,4,0.78947,1,0.5343,0.58242,0.73171,4,3,0.75,2,2,1,0.75401,0.40113,5,1648,0.5737,0.71825,0.46562,0.61055,68,0.05695,0.36364,0.06784,0.43316,0.83951,0.6631,0.62903,16,1602,0.3554,0.60699,0.45533,0.03469,0.22599,0.75141,0.53383
Danielle Collins,USA,Hard,39,5,1994,7,26,13,0.66667,1,0.52746,0.56466,0.66667,11,5,0.45455,7,4,0.57143,0.71717,0.40779,5,1648,0.57624,0.68812,0.46429,0.59327,124,0.04692,0.31313,0.06432,0.42929,0.72941,0.66162,0.57252,16,1602,0.37344,0.59465,0.45556,0.04051,0.25455,0.82338,0.49527
Jessica Pegula,USA,Clay,7,6,1980,10,5,2,0.71429,0,0.52358,0.52632,0.625,3,2,0.66667,3,2,0.66667,0.66667,0.38961,15,1616,0.60417,0.67241,0.43684,0.57917,17,0.03542,0.22667,0.02292,0.14667,1.54545,0.58667,0.43182,11,1609,0.4095,0.58209,0.47398,0.0223,0.15584,0.93506,0.41667
Jessica Pegula,USA,Grass,8,6,1980,24,6,2,0.75,0,0.54462,0.59524,0.68421,3,2,0.66667,1,0,0,0.77907,0.40244,15,1616,0.60189,0.67085,0.58294,0.63585,12,0.02264,0.13953,0.01887,0.11628,1.2,0.56977,0.61224,11,1609,0.34897,0.62963,0.45781,0.0395,0.26829,0.89024,0.45205
Jessica Pegula,USA,Hard,45,6,1980,5,33,12,0.73333,2,0.53152,0.5786,0.68317,14,10,0.71429,7,2,0.28571,0.72807,0.43043,15,1616,0.58163,0.68012,0.48455,0.5983,126,0.04286,0.27632,0.03605,0.23246,1.18868,0.63816,0.57388,11,1609,0.39244,0.58659,0.46728,0.03272,0.21739,0.88043,0.48889
Madison Keys,USA,Clay,16,7,1948,5,12,4,0.75,1,0.52304,0.56433,0.66667,7,5,0.71429,3,3,1,0.70588,0.42442,7,1645,0.64862,0.65064,0.46475,0.58532,56,0.05138,0.32941,0.03028,0.19412,1.69697,0.65294,0.54955,14,1604,0.38472,0.59132,0.46376,0.01747,0.11628,0.94767,0.44785
Madison Keys,USA,Grass,10,7,1948,4,9,1,0.9,1,0.54619,0.60101,0.85714,1,1,1,4,4,1,0.82178,0.37113,7,1645,0.71134,0.73499,0.41837,0.64359,37,0.05449,0.36634,0.02651,0.17822,2.05556,0.62376,0.71429,14,1604,0.39198,0.56,0.44807,0.01187,0.08247,0.73196,0.50704
Madison Keys,USA,Hard,20,7,1948,26,11,9,0.55,0,0.51641,0.5466,0.57143,4,2,0.5,6,2,0.33333,0.78392,0.30808,7,1645,0.66248,0.68116,0.49015,0.61669,67,0.04948,0.33668,0.03545,0.24121,1.39583,0.63819,0.66142,14,1604,0.33509,0.51948,0.41172,0.04395,0.28788,0.74747,0.41216
Qinwen Zheng,CHN,Clay,14,8,1912,23,10,4,0.71429,1,0.52935,0.57931,0.66667,6,4,0.66667,1,0,0,0.73793,0.42069,8,1641,0.48244,0.71734,0.48104,0.59504,65,0.06715,0.44828,0.05682,0.37931,1.18182,0.61379,0.57303,43,1574,0.39771,0.58644,0.45916,0.02428,0.15172,0.70345,0.59804
Qinwen Zheng,CHN,Hard,39,8,1912,8,27,12,0.69231,1,0.51442,0.53735,0.58065,16,15,0.9375,6,2,0.33333,0.72993,0.34845,8,1641,0.51793,0.743,0.4462,0.59992,254,0.09687,0.618,0.06941,0.44282,1.3956,0.63017,0.57143,43,1574,0.35925,0.55055,0.43396,0.02477,0.16468,0.7494,0.46497
